epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2858874499797821,1.6567376852035522,0.001,0.37859922647476196,1.3176885843276978
1,0.3367411494255066,1.3546985387802124,0.001,0.3723735511302948,1.2890870571136475
2,0.3931281566619873,1.271153450012207,0.001,0.35719844698905945,1.4368236064910889
3,0.4735982418060303,1.1560336351394653,0.001,0.4451361894607544,1.2390836477279663
4,0.5627108216285706,1.0220106840133667,0.001,0.6377431750297546,0.8418360352516174
5,0.6063448786735535,0.9354912042617798,0.001,0.6669260859489441,0.8201037049293518
6,0.627529501914978,0.8955504298210144,0.001,0.6287937760353088,0.8695023655891418
7,0.6430227756500244,0.8594905734062195,0.001,0.7089493870735168,0.7137876152992249
8,0.6555649042129517,0.8363745212554932,0.001,0.7035019397735596,0.7138655781745911
9,0.661309003829956,0.8206657767295837,0.001,0.6964980363845825,0.7363538146018982
10,0.6733242273330688,0.8028358817100525,0.001,0.7015564441680908,0.7060378789901733
11,0.6800168752670288,0.7876240611076355,0.001,0.7194552421569824,0.6784605383872986
12,0.685971736907959,0.7739723324775696,0.001,0.7198443412780762,0.6843284964561462
13,0.6920847296714783,0.7619563937187195,0.001,0.692996084690094,0.7323126792907715
14,0.6969329714775085,0.7516970634460449,0.001,0.7077820897102356,0.6993159651756287
15,0.7028351426124573,0.7396252155303955,0.001,0.7447471022605896,0.6265341639518738
16,0.6999894380569458,0.7424431443214417,0.001,0.7385213971138,0.6507106423377991
17,0.7110033631324768,0.7241305708885193,0.001,0.7385213971138,0.6319162845611572
18,0.707999587059021,0.7268787622451782,0.001,0.7361867427825928,0.6578748822212219
19,0.7152719497680664,0.7153388857841492,0.001,0.7680934071540833,0.5974268913269043
20,0.7152191996574402,0.7016128897666931,0.001,0.731517493724823,0.6457917094230652
21,0.7174325585365295,0.7002004981040955,0.001,0.7334630489349365,0.627695620059967
22,0.7241252064704895,0.6870845556259155,0.001,0.7587548494338989,0.6015390157699585
23,0.72823566198349,0.6840583086013794,0.001,0.725680947303772,0.6776185035705566
24,0.7240725159645081,0.6890244483947754,0.001,0.7583657503128052,0.5962773561477661
25,0.7270236015319824,0.6845347881317139,0.001,0.7677043080329895,0.5736172199249268
26,0.7340851426124573,0.6711645722389221,0.001,0.7478598952293396,0.6091431379318237
27,0.7300273776054382,0.6771942973136902,0.001,0.7680934071540833,0.5713084936141968
28,0.7352972030639648,0.667061448097229,0.001,0.740077793598175,0.6401185393333435
29,0.7355080246925354,0.6644490957260132,0.001,0.7715953588485718,0.5738272070884705
30,0.740777850151062,0.6549503803253174,0.001,0.7540856003761292,0.6100960969924927
31,0.7432546615600586,0.648979127407074,0.001,0.7704280018806458,0.5741713047027588
32,0.7380375266075134,0.6611121296882629,0.001,0.7677043080329895,0.583000659942627
33,0.7506850957870483,0.630742073059082,0.00020000001,0.778599202632904,0.5630691051483154
34,0.7572723627090454,0.6200599074363708,0.00020000001,0.778599202632904,0.5619797110557556
35,0.7601180672645569,0.6187233924865723,0.00020000001,0.7758755087852478,0.5614275336265564
36,0.7624894380569458,0.6106829047203064,0.00020000001,0.7789883017539978,0.5517826080322266
37,0.7644392848014832,0.6001961827278137,0.00020000001,0.7797665596008301,0.5485017895698547
38,0.762542188167572,0.6013522148132324,0.00020000001,0.775486409664154,0.5551186203956604
39,0.7676538825035095,0.5938749313354492,0.00020000001,0.7782101035118103,0.5529240369796753
40,0.7594329714775085,0.6031127572059631,0.00020000001,0.7766537070274353,0.5529025197029114
41,0.7674958109855652,0.5903899669647217,0.00020000001,0.7782101035118103,0.5622125267982483
42,0.7613828182220459,0.5969054102897644,0.00020000001,0.7789883017539978,0.5575165152549744
43,0.7676011919975281,0.5885866284370422,4.0000003e-05,0.7797665596008301,0.5500277280807495
44,0.7684443593025208,0.5842165946960449,4.0000003e-05,0.7821011543273926,0.5471340417861938
45,0.7708684802055359,0.5842764973640442,4.0000003e-05,0.7856031060218811,0.5448298454284668
46,0.76507169008255,0.5948325991630554,4.0000003e-05,0.7801556587219238,0.5459491014480591
47,0.7680754661560059,0.5903687477111816,4.0000003e-05,0.7821011543273926,0.5470390319824219
48,0.7686551213264465,0.5868030786514282,4.0000003e-05,0.7832685112953186,0.5451990365982056
49,0.7724494338035583,0.5812366604804993,4.0000003e-05,0.7848249077796936,0.5427653193473816
